Ημερομηνία,Κλικ,Εμφανίσεις,CTR,Θέση
2026-06-05,0,0,,
2026-06-06,0,0,,
2026-06-07,0,0,,
2026-06-08,0,0,,
2026-06-09,0,0,,
2026-06-10,0,1,0%,1
2026-06-11,2,4,50%,1.5
2026-06-12,3,8,37.5%,2.1
2026-06-13,0,1,0%,1
2026-06-14,1,1,100%,1
2026-06-15,0,0,,
2026-06-16,0,3,0%,1
2026-06-17,0,0,,
2026-06-18,0,2,0%,7
2026-06-19,0,0,,
2026-06-20,0,0,,
2026-06-21,0,0,,
2026-06-22,0,0,,
2026-06-23,0,0,,
2026-06-24,0,0,,
2026-06-25,0,0,,
2026-06-26,0,1,0%,2
2026-06-27,1,1,100%,1
2026-06-28,0,0,,
2026-06-29,0,1,0%,1
2026-06-30,0,1,0%,59
2026-07-01,0,0,,
2026-07-02,0,1,0%,95
2026-07-03,0,0,,
2026-07-04,0,0,,
2026-07-05,0,1,0%,2
2026-07-06,0,1,0%,41
2026-07-07,0,0,,
2026-07-08,0,0,,
2026-07-09,0,0,,
2026-07-10,0,4,0%,1.8
2026-07-11,0,5,0%,1.8
2026-07-12,0,0,,
2026-07-13,0,0,,
2026-07-14,0,0,,
2026-07-15,0,0,,
2026-07-16,0,0,,
2026-07-17,0,1,0%,2
2026-07-18,0,0,,
